Nom,Cores,Potència,Caché
AMD Ryzen™ 7 4800U,8,Up to 4.2 GHz,{
AMD Ryzen™ 7 4800HS,8,Up to 4.2 GHz,"Name: ""AMD Ryzen™ 9 7950X3D"","
AMD Ryzen™ 7 4800H,8,Up to 4.2 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 7 4700U,8,Up to 4.1 GHz,"Max. Boost Clock: ""Up to 5.7 GHz"","
AMD Ryzen™ Threadripper™ 1900X,8,Up to 4 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 PRO 7745,8,Up to 5.3 GHz,"},"
AMD Ryzen™ 7 PRO 7730U,8,Up to 4.5 GHz,{
AMD Ryzen™ 7 7435HS,8,Up to 4.5 GHz,"Name: ""AMD Ryzen™ 9 7950X"","
AMD Ryzen™ Z1 Extreme,8,Up to 5.1 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 9 PRO 6950HS,8,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 5.7 GHz"","
AMD Ryzen™ 7 PRO 6860Z,8,Up to 4.75 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 PRO 6850HS,8,Up to 4.7 GHz,"},"
AMD Ryzen™ 7 PRO 5875U,8,Up to 4.5 GHz,{
AMD Ryzen™ 7 PRO 5850U,8,Up to 4.4 GHz,"Name: ""AMD Ryzen™ 9 7945HX3D"","
AMD Ryzen™ 7 PRO 5845,8,Up to 4.6 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 7 PRO 5750GE,8,Up to 4.6 GHz,"Max. Boost Clock: ""Up to 5.4 GHz"","
AMD Ryzen™ 7 PRO 5750G,8,Up to 4.6 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 7 5800 (OEM Only),8,Up to 4.6 GHz,"},"
AMD Ryzen™ 7 5700GE,8,Up to 4.6 GHz,{
AMD Ryzen™ 7 PRO 4750U,8,Up to 4.1 GHz,"Name: ""AMD Ryzen™ 9 7945HX"","
AMD Ryzen™ 7 PRO 4750GE,8,Up to 4.3 GHz,"# of CPU Cores: ""16"","
